,logFC,mod_t,p,fdr_all,kME,fdr_in_module
PLA2G15,-0.012528500035828394,-0.18939241427402173,0.8502745926004923,0.9433378559780092,0.6412911931796353,0.8630606766997478
EPHB6,0.14036249518265498,2.135288973492176,0.035858791115027544,0.33250155080228144,0.6399272902181906,0.08736405643107206
UPP1,0.22712756408359347,3.1877235457215636,0.002060333233054917,0.26470869863932694,0.6360078484203315,0.02592817415658025
POR,0.08846413523853958,1.359242176770997,0.17796582852434895,0.5187374227744266,0.6359647392477182,0.23212934155349862
COL9A2,0.04056156179565118,0.5725204667896385,0.5686071886372682,0.7993504705703923,0.6350745194296584,0.5973694199691145
CCND3,0.13094791992092691,1.9331572113297497,0.05682617338245642,0.3749568414095841,0.6344245252100923,0.10657276777861187
SMARCB1,-0.010576031737097757,-0.13189974992258388,0.895401404915673,0.9625636324717881,0.6344215163862023,0.9054620948585458
SNPH,0.19373645548609497,3.185783148945375,0.0020725886952232013,0.26470869863932694,0.6317058452345935,0.02592817415658025
NPIPA1.1,0.1327323074206781,1.7484553940285796,0.08429844043026141,0.41034232168616325,0.6315994022611522,0.13527054858270351
RAB5C,0.1889215010176315,2.456605880044675,0.01623489889397677,0.2837499335358213,0.6314210690134582,0.059188693162389235
